start_utc,peak_utc,end_utc,duration_s,sxr_peak_counts,snr_sxr,hxr_detected,hxr_peak_counts,snr_hxr,source,sxr_peak_flux_wm2,goes_class,goes_class_num
2026-06-02 00:10:50+00:00,2026-06-02 00:11:25+00:00,2026-06-02 00:11:38+00:00,48.0,,,True,232.0,232.0,HXR_only,,?,0
2026-06-02 00:20:22+00:00,2026-06-02 00:20:30+00:00,2026-06-02 00:21:14+00:00,52.0,,,True,296.0,296.0,HXR_only,,?,0
2026-06-02 00:26:03+00:00,2026-06-02 00:26:36+00:00,2026-06-02 00:27:13+00:00,70.0,,,True,261.0,261.0,HXR_only,,?,0
2026-06-02 00:29:21+00:00,2026-06-02 00:30:48+00:00,2026-06-02 00:30:52+00:00,91.0,,,True,318.0,318.0,HXR_only,,?,0
2026-06-02 00:33:13+00:00,2026-06-02 00:34:24+00:00,2026-06-02 00:35:56+00:00,163.0,,,True,277.0,277.0,HXR_only,,?,0
2026-06-02 00:39:53+00:00,2026-06-02 00:39:55+00:00,2026-06-02 00:40:14+00:00,21.0,,,True,235.0,235.0,HXR_only,,?,0
2026-06-02 00:46:19+00:00,2026-06-02 00:46:36+00:00,2026-06-02 00:49:16+00:00,177.0,,,True,269.0,269.0,HXR_only,,?,0
2026-06-02 01:05:05+00:00,2026-06-02 01:05:21+00:00,2026-06-02 01:05:29+00:00,24.0,,,True,210.0,210.0,HXR_only,,?,0
2026-06-02 01:18:14+00:00,2026-06-02 01:18:22+00:00,2026-06-02 01:18:26+00:00,12.0,,,True,242.0,242.0,HXR_only,,?,0
2026-06-02 01:25:45+00:00,2026-06-02 01:26:01+00:00,2026-06-02 01:26:14+00:00,29.0,,,True,182.0,182.0,HXR_only,,?,0
2026-06-02 01:35:52+00:00,2026-06-02 01:35:57+00:00,2026-06-02 01:36:08+00:00,16.0,,,True,182.0,182.0,HXR_only,,?,0
2026-06-02 01:40:37+00:00,2026-06-02 01:40:49+00:00,2026-06-02 01:42:49+00:00,132.0,,,True,235.0,235.0,HXR_only,,?,0
2026-06-02 01:50:07+00:00,2026-06-02 01:50:14+00:00,2026-06-02 01:50:58+00:00,51.0,,,True,308.0,308.0,HXR_only,,?,0
2026-06-02 02:00:07+00:00,2026-06-02 02:00:58+00:00,2026-06-02 02:01:06+00:00,59.0,,,True,202.0,202.0,HXR_only,,?,0
2026-06-02 02:05:25+00:00,2026-06-02 02:05:34+00:00,2026-06-02 02:06:56+00:00,91.0,,,True,269.0,269.0,HXR_only,,?,0
2026-06-02 02:14:08+00:00,2026-06-02 02:15:10+00:00,2026-06-02 02:15:33+00:00,85.0,,,True,236.0,236.0,HXR_only,,?,0
2026-06-02 02:18:36+00:00,2026-06-02 02:19:16+00:00,2026-06-02 02:20:56+00:00,140.0,,,True,285.0,285.0,HXR_only,,?,0
2026-06-02 02:38:38+00:00,2026-06-02 02:38:52+00:00,2026-06-02 02:38:59+00:00,21.0,,,True,239.0,239.0,HXR_only,,?,0
2026-06-02 02:43:07+00:00,2026-06-02 02:43:27+00:00,2026-06-02 02:45:51+00:00,164.0,,,True,429.0,429.0,HXR_only,,?,0
2026-06-02 02:47:50+00:00,2026-06-02 02:48:23+00:00,2026-06-02 02:49:11+00:00,81.0,,,True,237.0,237.0,HXR_only,,?,0
2026-06-02 02:50:44+00:00,2026-06-02 02:50:59+00:00,2026-06-02 02:54:33+00:00,229.0,,,True,249.0,249.0,HXR_only,,?,0
2026-06-02 03:00:50+00:00,2026-06-02 03:01:17+00:00,2026-06-02 03:02:04+00:00,74.0,,,True,228.0,228.0,HXR_only,,?,0
2026-06-02 03:04:44+00:00,2026-06-02 03:04:53+00:00,2026-06-02 03:05:15+00:00,31.0,,,True,200.0,200.0,HXR_only,,?,0
2026-06-02 03:09:28+00:00,2026-06-02 03:10:53+00:00,2026-06-02 03:11:25+00:00,117.0,,,True,277.0,277.0,HXR_only,,?,0
2026-06-02 03:19:14+00:00,2026-06-02 03:20:01+00:00,2026-06-02 03:22:52+00:00,218.0,,,True,302.0,302.0,HXR_only,,?,0
2026-06-02 03:34:10+00:00,2026-06-02 03:35:03+00:00,2026-06-02 03:35:22+00:00,72.0,,,True,262.0,262.0,HXR_only,,?,0
2026-06-02 03:45:34+00:00,2026-06-02 03:46:11+00:00,2026-06-02 03:46:53+00:00,79.0,,,True,227.0,227.0,HXR_only,,?,0
2026-06-02 03:51:45+00:00,2026-06-02 03:52:01+00:00,2026-06-02 03:52:37+00:00,52.0,,,True,200.0,200.0,HXR_only,,?,0
2026-06-02 03:55:29+00:00,2026-06-02 03:55:54+00:00,2026-06-02 03:56:15+00:00,46.0,,,True,269.0,269.0,HXR_only,,?,0
2026-06-02 04:12:39+00:00,2026-06-02 04:12:45+00:00,2026-06-02 04:13:08+00:00,29.0,,,True,244.0,244.0,HXR_only,,?,0
